ID,date,month,year,outflow,inflow,storage
1,1,1,2001,15.6,69.4,982100000
2,10,1,2001,12.6,60.3,1022700000
3,20,1,2001,3,63.8,1080800000
4,1,2,2001,3,69.5,1139000000
5,10,2,2001,4,62.8,1190000000
6,20,2,2001,3,66.6,1233300000
7,1,3,2001,44,56,1238400000
8,10,3,2001,39,52.2,1250200000
9,20,3,2001,79.4,54.8,1236300000
10,1,4,2001,83,73.5,1219900000
11,10,4,2001,93,106.4,1227200000
12,20,4,2001,103,84.3,1209600000
13,1,5,2001,103.3,137,1258000000
14,10,5,2001,143.6,212.1,1317200000
15,20,5,2001,165.1,260.8,1411000000
16,1,6,2001,173,322.7,1534700000
17,10,6,2001,173,256.3,1597800000
18,20,6,2001,177,155.3,1573400000
19,1,7,2001,293,123.4,1414300000
20,10,7,2001,384.4,80.4,1148800000
21,20,7,2001,343.5,57.5,879900000
22,1,8,2001,309,61.2,674900000
23,10,8,2001,172.4,70.8,596500000
24,20,8,2001,89.4,66.5,575200000
25,1,9,2001,56.3,56.9,576000000
26,10,9,2001,58,57.6,575700000
27,20,9,2001,65.3,48.3,559000000
28,1,10,2001,78,42.4,527600000
29,10,10,2001,78,42.8,497700000
30,20,10,2001,57.5,65.2,513400000
31,1,11,2001,4,89.9,587000000
32,10,11,2001,14.3,84.1,644900000
33,20,11,2001,11.3,73,701000000
34,1,12,2001,4.5,82.1,767000000
35,10,12,2001,4,73.2,827900000
36,20,12,2001,11.1,70.1,883700000
37,1,1,2002,18,71.5,931700000
38,10,1,2002,18,73.5,978200000
39,20,1,2002,18,59.5,1017200000
40,1,2,2002,16.7,61.1,1056600000
41,10,2,2002,3,62.3,1106800000
42,20,2,2002,16.9,57.5,1134400000
43,1,3,2002,28,55.4,1156100000
44,10,3,2002,35,52.8,1171600000
45,20,3,2002,43.6,66.4,1194000000
46,1,4,2002,48.3,150.5,1298000000
47,10,4,2002,47.5,361.1,1603700000
48,20,4,2002,405.6,558.9,1709000000
49,1,5,2002,248.8,316.3,1788000000
50,10,5,2002,382.8,485.5,1843000000
51,20,5,2002,425.1,436.4,1857000000
