ID,date,month,year,outflow,inflow,storage
1,1,1,2001,0.726043947,0.726043947,77983656.63
2,2,1,2001,0.726327115,1.707222682,78068767.39
3,3,1,2001,0.726327115,0.404647738,78040397.14
4,4,1,2001,0.726327115,1.048006493,78068767.39
5,5,1,2001,0.726327115,0.726327115,78068767.39
6,6,1,2001,0.726327115,0.726327115,78068767.39
7,7,1,2001,0.726327115,0.726327115,78068767.39
8,8,1,2001,0.726327115,0.726327115,78068767.39
9,9,1,2001,0.726327115,0.726327115,78068767.39
10,10,1,2001,0.726327115,0.726327115,78068767.39
11,11,1,2001,0.726327115,0.726327115,78068767.39
12,12,1,2001,0.726327115,0.726327115,78068767.39
13,13,1,2001,0.726327115,0.726327115,78068767.39
14,14,1,2001,0.726327115,0.726327115,78068767.39
15,15,1,2001,0.726327115,0.726327115,78068767.39
16,16,1,2001,0.726327115,0.726327115,78068767.39
17,17,1,2001,0.726327115,0.726327115,78068767.39
18,18,1,2001,0.726327115,0.726327115,78068767.39
19,19,1,2001,0.726327115,0.726327115,78068767.39
20,20,1,2001,0.726327115,1.385826473,78125507.9
21,21,1,2001,0.726610284,0.726610284,78125507.9
22,22,1,2001,0.726327115,0.726327115,78125507.9
23,23,1,2001,0.726610284,0.726610284,78125507.9
24,24,1,2001,0.726610284,0.726610284,78125507.9
25,25,1,2001,0.726610284,0.067110926,78068767.39
26,26,1,2001,0.726327115,0.726327115,78068767.39
27,27,1,2001,0.726327115,0.726327115,78068767.39
28,28,1,2001,0.726327115,0.726327115,78068767.39
29,29,1,2001,0.726327115,0.726327115,78068767.39
30,30,1,2001,0.726327115,0.726327115,78068767.39
31,31,1,2001,0.726327115,0.726327115,78068767.39
32,1,2,2001,0.726327115,0.726327115,78068767.39
33,2,2,2001,0.726327115,0.726327115,78068767.39
34,3,2,2001,0.726327115,0.726327115,78068767.39
35,4,2,2001,0.726327115,0.726327115,78068767.39
36,5,2,2001,0.726327115,0.404647738,78040397.14
37,6,2,2001,0.726327115,0.726327115,78040397.14
38,7,2,2001,0.726327115,0.726327115,78040397.14
39,8,2,2001,0.726327115,0.726327115,78040397.14
40,9,2,2001,0.726327115,0.726327115,78040397.14
41,10,2,2001,0.726327115,0.726327115,78040397.14
42,11,2,2001,0.726327115,0.726327115,78040397.14
43,12,2,2001,0.726327115,0.726327115,78040397.14
44,13,2,2001,0.726327115,0.066827758,77983656.63
45,14,2,2001,0.726043947,1.385543304,78040397.14
46,15,2,2001,0.726043947,0.066827758,77983656.63
47,16,2,2001,0.726043947,0.726043947,77983656.63
48,17,2,2001,0.726043947,0.726043947,77983656.63
49,18,2,2001,0.726043947,0.066827758,77926916.13
50,19,2,2001,0.726043947,0.726043947,77926916.13
51,20,2,2001,0.726043947,0.726043947,77926916.13
52,21,2,2001,0.726043947,0.726043947,77926916.13
53,22,2,2001,0.726043947,0.726043947,77926916.13
54,23,2,2001,0.726043947,0.726043947,77926916.13
55,24,2,2001,0.726043947,1.385543304,77983656.63
56,25,2,2001,0.726043947,0.726043947,77983656.63
57,26,2,2001,0.726043947,0.726043947,77983656.63
58,27,2,2001,0.726043947,0.726043947,77983656.63
59,28,2,2001,0.726043947,0.726043947,77983656.63
60,1,3,2001,0.726043947,0.726043947,77983656.63
61,2,3,2001,0.726043947,0.726043947,77983656.63
62,3,3,2001,0.726043947,0.726043947,77983656.63
63,4,3,2001,0.726043947,0.06654459,77926916.13
64,5,3,2001,0.726043947,1.385543304,77983656.63
65,6,3,2001,0.726043947,0.726043947,77983656.63
66,7,3,2001,0.726043947,0.726043947,77983656.63
67,8,3,2001,0.726043947,0.726043947,77983656.63
68,9,3,2001,0.726043947,0.726043947,77983656.63
69,10,3,2001,0.726043947,0.726043947,77983656.63
70,11,3,2001,0.726043947,0.726043947,77983656.63
71,12,3,2001,0.726043947,0.726043947,77983656.63
72,13,3,2001,0.726043947,0.726043947,77983656.63
73,14,3,2001,0.726043947,0.06654459,77926916.13
74,15,3,2001,0.726043947,0.726043947,77926916.13
75,16,3,2001,0.726043947,0.726043947,77926916.13
76,17,3,2001,0.726043947,0.726043947,77926916.13
77,18,3,2001,0.725760778,0.06654459,77870175.62
78,19,3,2001,0.725760778,0.725760778,77870175.62
79,20,3,2001,0.725760778,0.725760778,77870175.62
80,21,3,2001,0.725760778,0.725760778,77870175.62
81,22,3,2001,0.871026201,0.871026201,77870175.62
82,23,3,2001,0.871026201,0.871026201,77870175.62
83,24,3,2001,0.870743033,0.211526844,77813435.12
84,25,3,2001,0.870743033,0.870743033,77813435.12
85,26,3,2001,0.870743033,0.870743033,77813435.12
86,27,3,2001,0.870743033,0.549063656,77785064.87
87,28,3,2001,0.870459864,0.211243676,77728324.36
88,29,3,2001,0.870459864,0.870459864,77728324.36
89,30,3,2001,0.870176696,0.210960507,77671583.86
90,31,3,2001,0.870176696,0.210960507,77614843.35
91,1,4,2001,0.870176696,0.870176696,77614843.35
92,2,4,2001,0.869893528,0.210677339,77556869.36
93,3,4,2001,0.869893528,0.532073548,77528499.11
94,4,4,2001,0.869893528,0.869893528,77528499.11
95,5,4,2001,0.869893528,0.869893528,77528499.11
96,6,4,2001,0.869610359,0.210111002,77471758.6
97,7,4,2001,0.869610359,0.210111002,77413784.61
98,8,4,2001,0.869327191,0.869327191,77413784.61
99,9,4,2001,0.869327191,0.869327191,77413784.61
100,10,4,2001,0.869327191,0.209827833,77357044.1
101,11,4,2001,0.869044022,0.547364645,77329907.34
