ID,date,month,year,inflow,outflow,storage,deltastorage,deltaflows
1,1,1,2001,898.6,360,3356000000,,-538.6
2,10,1,2001,799.6,360,3698000000,342000000,-439.6
3,20,1,2001,766.6,360,4120000000,422000000,-406.6
4,1,2,2001,980.6,360,4619000000,499000000,-620.6
5,10,2,2001,943.7,381,4980000000,361000000,-562.7
6,20,2,2001,872.4,381.6,5045000000,65000000,-490.8
7,1,3,2001,624.8,460,5175000000,130000000,-164.8
8,10,3,2001,368.2,460,5213000000,38000000,91.8
9,20,3,2001,458.9,460,5221000000,8000000,1.1
10,1,4,2001,350.6,282,5232000000,11000000,-68.6
11,10,4,2001,316.7,224.1,5251000000,19000000,-92.6
12,20,4,2001,147.7,433.3,5103000000,-148000000,285.6
13,1,5,2001,94.4,596,4676000000,-427000000,501.6
14,10,5,2001,79.6,600,4228000000,-448000000,520.4
15,20,5,2001,78.1,600,3710000000,-518000000,521.9
16,1,6,2001,77.1,535,3338000000,-372000000,457.9
17,10,6,2001,76.2,500,2895000000,-443000000,423.8
18,20,6,2001,75.9,500,2434000000,-461000000,424.1
19,1,7,2001,67.3,500,1993000000,-441000000,432.7
20,10,7,2001,70,500,1514000000,-479000000,430
21,20,7,2001,74.8,500,949000000,-565000000,425.2
22,1,8,2001,77.5,455,629000000,-320000000,377.5
23,10,8,2001,115.8,360,389000000,-240000000,244.2
24,20,8,2001,163.4,93.6,476000000,87000000,-69.8
25,1,9,2001,197.5,84,640000000,164000000,-113.5
26,10,9,2001,212.6,67,763000000,123000000,-145.6
27,20,9,2001,171.8,182,787000000,24000000,10.2
28,1,10,2001,166,200,763000000,-24000000,34
29,10,10,2001,269.9,221,847000000,84000000,-48.9
30,20,10,2001,473.3,315.5,1014000000,167000000,-157.8
31,1,11,2001,750.2,597,1213000000,199000000,-153.2
32,10,11,2001,802.5,694,1318000000,105000000,-108.5
33,20,11,2001,754.1,485,1629000000,311000000,-269.1
34,1,12,2001,983.9,384,2133000000,504000000,-599.9
35,10,12,2001,1024.9,360,2510000000,377000000,-664.9
36,20,12,2001,988,360,3368000000,858000000,-628
37,1,1,2002,837.3,380,3773000000,405000000,-457.3
38,10,1,2002,716,380,4091000000,318000000,-336
39,20,1,2002,758.5,380,4380000000,289000000,-378.5
40,1,2,2002,735.3,380,4749000000,369000000,-355.3
41,10,2,2002,844.4,467.5,5052000000,303000000,-376.9
42,20,2,2002,966.4,556.3,5210000000,158000000,-410.1
43,1,3,2002,934.7,680,5238000000,28000000,-254.7
44,10,3,2002,726.2,600,5221000000,-17000000,-126.2
45,20,3,2002,584.2,518.2,5240000000,19000000,-66
46,1,4,2002,953.9,653.3,5268000000,28000000,-300.6
47,10,4,2002,1006.1,650,5262000000,-6000000,-356.1
48,20,4,2002,1147.6,763,5265000000,3000000,-384.6
49,1,5,2002,1134,890.5,5279000000,14000000,-243.5
50,10,5,2002,829.1,853.3,5270000000,-9000000,24.2
51,20,5,2002,949,876.9,5246000000,-24000000,-72.1
52,1,6,2002,759,650,5254000000,8000000,-109
53,10,6,2002,811.5,671,5287000000,33000000,-140.5
54,20,6,2002,722.6,867,5103000000,-184000000,144.4
55,1,7,2002,598,1100,4734000000,-369000000,502
56,10,7,2002,417.7,793.3,4293000000,-441000000,375.6
57,20,7,2002,367.8,963.6,3651000000,-642000000,595.8
58,1,8,2002,216.1,1030,2866000000,-785000000,813.9
59,10,8,2002,182.3,680,2109000000,-757000000,497.7
60,20,8,2002,158.9,650,1647000000,-462000000,491.1
61,1,9,2002,223.2,550,1370000000,-277000000,326.8
62,10,9,2002,244.6,550,1109000000,-261000000,305.4
63,20,9,2002,206.1,550,844000000,-265000000,343.9
64,1,10,2002,301.9,550,685000000,-159000000,248.1
65,10,10,2002,319.5,450,643000000,-42000000,130.5
66,20,10,2002,513.9,350,805000000,162000000,-163.9
67,1,11,2002,541,350,1065000000,260000000,-191
68,10,11,2002,609.8,445,1165000000,100000000,-164.8
69,20,11,2002,836.9,490,1466000000,301000000,-346.9
70,1,12,2002,1089,400,1944000000,478000000,-689
71,10,12,2002,1229,400,2605000000,661000000,-829
72,20,12,2002,1334.3,389.1,3521000000,916000000,-945.2
73,1,1,2003,1316.6,360,4250000000,729000000,-956.6
74,10,1,2003,1218.1,360,4734000000,484000000,-858.1
75,20,1,2003,1197.9,360,4790000000,56000000,-837.9
76,1,2,2003,1016.2,387,4575000000,-215000000,-629.2
77,10,2,2003,956.2,360,4734000000,159000000,-596.2
78,20,2,2003,988.5,360,5031000000,297000000,-628.5
79,1,3,2003,1062.6,360,5197000000,166000000,-702.6
80,10,3,2003,1099.8,380,5297000000,100000000,-719.8
81,20,3,2003,1111.3,595.5,5235000000,-62000000,-515.8
82,1,4,2003,1147.8,712,5253000000,18000000,-435.8
83,10,4,2003,1566,780,5249000000,-4000000,-786
84,20,4,2003,2452.8,1040,5304000000,55000000,-1412.8
85,1,5,2003,1531.8,860,5265000000,-39000000,-671.8
86,10,5,2003,554.3,780,5199000000,-66000000,225.7
87,20,5,2003,552.3,731.8,5110000000,-89000000,179.5
88,1,6,2003,904.9,670,5189000000,79000000,-234.9
89,10,6,2003,1009.2,809,5334000000,145000000,-200.2
90,20,6,2003,616.8,875,5202000000,-132000000,258.2
91,1,7,2003,528.8,795,4930000000,-272000000,266.2
92,10,7,2003,357.8,994.3,4351000000,-579000000,636.5
