ID,date,month,year,outflow,inflow,storage
1,1,1,2001,69.6,82,691000000
2,10,1,2001,69.1,79.6,688000000
3,20,1,2001,74,78.1,674000000
4,1,2,2001,75.2,71,660000000
5,10,2,2001,73.9,68.2,651000000
6,20,2,2001,70.3,72,647000000
7,1,3,2001,67.4,80.4,658000000
8,10,3,2001,68.9,99.6,676000000
9,20,3,2001,95.5,147.5,715000000
10,1,4,2001,85.7,207.3,807000000
11,10,4,2001,121.4,292.2,919000000
12,20,4,2001,157.6,274.7,1007000000
13,1,5,2001,203.4,368.1,1140000000
14,10,5,2001,234.6,530.8,1334000000
15,20,5,2001,257.2,536.5,1514000000
16,1,6,2001,294.3,622.7,1705000000
17,10,6,2001,322.2,536.7,1820000000
18,20,6,2001,339.7,463.2,1867000000
19,1,7,2001,348.1,347.3,1826000000
20,10,7,2001,361.1,262.2,1732000000
21,20,7,2001,334,220.3,1614000000
22,1,8,2001,354.5,187.5,1454000000
23,10,8,2001,365.1,179.8,1298000000
24,20,8,2001,217.6,178.2,1263000000
25,1,9,2001,185.3,164.4,1219000000
26,10,9,2001,184.7,135.1,1156000000
27,20,9,2001,188.5,119.4,1083000000
28,1,10,2001,172.1,106.7,1019000000
29,10,10,2001,158.3,106,962000000
30,20,10,2001,139.9,139.1,950000000
31,1,11,2001,121.9,129,950000000
32,10,11,2001,108.1,114,932000000
33,20,11,2001,117,102.4,909000000
34,1,12,2001,124.5,91.1,867000000
35,10,12,2001,115.5,84.6,825000000
36,20,12,2001,96.5,85.7,793000000
37,1,1,2002,111.6,85.9,752000000
38,10,1,2002,123.8,82.5,707000000
39,20,1,2002,108.8,78.3,675000000
40,1,2,2002,99.8,73.4,640000000
41,10,2,2002,104.6,76,609000000
42,20,2,2002,117.9,75,580000000
43,1,3,2002,101.6,81.5,552000000
44,10,3,2002,127.2,99.9,545000000
45,20,3,2002,127.1,165,620000000
46,1,4,2002,133.1,219.2,708000000
47,10,4,2002,115.6,400.2,1040000000
48,20,4,2002,170.6,546,1403000000
49,1,5,2002,194.7,378.4,1602000000
50,10,5,2002,257.3,473.5,1796000000
51,20,5,2002,467.1,473.5,1847000000
52,1,6,2002,611.2,613,1874000000
53,10,6,2002,598.2,625.2,1942000000
54,20,6,2002,768.5,759.4,1964000000
55,1,7,2002,732.1,640.8,1974000000
56,10,7,2002,614.4,587.5,2006000000
57,20,7,2002,559.1,539.3,2006000000
58,1,8,2002,422.4,448.4,2006000000
59,10,8,2002,394,389.2,1990000000
60,20,8,2002,267.3,286.3,2004000000
61,1,9,2002,208.4,219.8,2004000000
62,10,9,2002,196.3,190.4,1981000000
63,20,9,2002,191.6,174.6,1955000000
64,1,10,2002,185.6,144.6,1911000000
65,10,10,2002,166.7,141.4,1880000000
66,20,10,2002,173.8,126.7,1825000000
67,1,11,2002,182.7,111.8,1746000000
68,10,11,2002,179.8,104.6,1676000000
69,20,11,2002,144,96.7,1621000000
70,1,12,2002,174.7,93.9,1544000000
71,10,12,2002,190.3,85.3,1435000000
72,20,12,2002,208.2,77.5,1314000000
73,1,1,2003,205.2,77.5,1195000000
74,10,1,2003,208.4,76.5,1098000000
75,20,1,2003,211.5,78.3,945000000
76,1,2,2003,207.9,74.2,821000000
77,10,2,2003,204.9,72.7,708000000
78,20,2,2003,201.3,71.7,600000000
79,1,3,2003,173.8,72.8,488000000
80,10,3,2003,135.3,83.1,445000000
81,20,3,2003,136.2,139.6,437000000
82,1,4,2003,159.5,173.8,474000000
83,10,4,2003,227.6,315.8,555000000
84,20,4,2003,346.4,407.8,675000000
85,1,5,2003,275.4,436.5,818000000
86,10,5,2003,294.2,430.5,960000000
87,20,5,2003,304.7,626.9,1259000000
88,1,6,2003,431,735.6,1570000000
89,10,6,2003,484.4,727.1,1764000000
90,20,6,2003,501.2,740.1,2000000000
91,1,7,2003,632.5,614.4,2006000000
92,10,7,2003,540.5,517,2006000000
93,20,7,2003,445.9,411,1990000000
94,1,8,2003,378.2,289.3,1933000000
95,10,8,2003,378.3,242.1,1837000000
96,20,8,2003,317.5,191.5,1745000000
97,1,9,2003,243.6,165.4,1698000000
98,10,9,2003,202.2,148.3,1668000000
99,20,9,2003,153.4,127.8,1649000000
