ID,date,month,year,outflow,inflow,storage
1,1,1,2001,920,860.3,3345000000
2,10,1,2001,916.7,816.4,3315000000
3,20,1,2001,919.2,898.2,3483000000
4,1,2,2001,1190.8,979.2,3414000000
5,10,2,2001,1161.5,953.4,3389000000
6,20,2,2001,1041.6,904.4,3409000000
7,1,3,2001,818.9,643.7,3325000000
8,10,3,2001,733.8,585.7,3418000000
9,20,3,2001,623.1,487.8,3345000000
10,1,4,2001,561.2,476.4,3394000000
11,10,4,2001,408.9,326.5,3364000000
12,20,4,2001,352.3,281,3311000000
13,1,5,2001,342.5,253.7,3208000000
14,10,5,2001,350,216.3,3065000000
15,20,5,2001,354.8,193.3,2869000000
16,1,6,2001,360,202.2,2670000000
17,10,6,2001,364.9,230.6,2542000000
18,20,6,2001,443.8,313.6,2366000000
19,1,7,2001,450,265.3,2174000000
20,10,7,2001,491.7,328.6,1998000000
21,20,7,2001,553.6,390.7,1826000000
22,1,8,2001,586.8,375.7,1635000000
23,10,8,2001,539.3,280.4,1431000000
24,20,8,2001,489,293.4,1282000000
25,1,9,2001,400.4,266.6,1175000000
26,10,9,2001,327.4,254.2,1139000000
27,20,9,2001,300,310,1247000000
28,1,10,2001,268.3,297.3,1334000000
29,10,10,2001,386.7,415.7,1406000000
30,20,10,2001,540.4,505.4,1389000000
31,1,11,2001,668.3,634.6,1470000000
32,10,11,2001,730,633,1470000000
33,20,11,2001,689.3,708.5,1574000000
34,1,12,2001,777.8,991.9,1858000000
35,10,12,2001,810,928.6,2113000000
36,20,12,2001,810,912.6,2354000000
37,1,1,2002,736.3,753.4,2498000000
38,10,1,2002,669.9,840.2,2815000000
39,20,1,2002,771.6,881.5,3148000000
40,1,2,2002,776.1,772.7,3222000000
41,10,2,2002,819.4,706.3,3301000000
42,20,2,2002,867.3,710.1,3261000000
43,1,3,2002,844.5,540.7,3056000000
44,10,3,2002,564.3,567.5,3217000000
45,20,3,2002,483.7,580.9,3369000000
46,1,4,2002,785,563.5,3144000000
47,10,4,2002,622.5,538.3,3227000000
48,20,4,2002,489.8,777.6,3533000000
49,1,5,2002,797.1,605,3404000000
