ID,date,month,year,outflow,inflow,storage
18264,1,1,2001,25.74001356,8.523370827,884637512.5
18265,2,1,2001,25.4002114,10.3922827,883317679
18266,3,1,2001,25.14535978,7.957033895,881811588.7
18267,4,1,2001,26.41961788,7.07921165,880119241.4
18268,5,1,2001,25.4002114,6.116438866,878430594.7
18269,6,1,2001,25.8249641,8.721588753,876930671.8
18270,7,1,2001,25.45684509,17.04674165,876180710.3
18271,8,1,2001,25.68337987,4.304160683,874310740.6
18272,9,1,2001,25.68337987,6.484557871,872629494.8
18273,10,1,2001,24.29585438,15.91406779,871883233.8
18274,11,1,2001,25.59842933,6.427924178,870205688.4
18275,12,1,2001,25.79664725,0.198217926,867971839.4
18276,13,1,2001,25.28694401,16.93347427,867229278.9
18277,14,1,2001,25.57011248,6.484557871,865557901
18278,15,1,2001,25.28694401,4.105942757,863705200.1
18279,16,1,2001,25.88159779,13.28060106,862593826.3
18280,17,1,2001,25.34357771,6.342973638,860929849.3
18281,18,1,2001,25.59842933,10.90198594,859637152.6
18282,19,1,2001,23.07822998,10.53386694,858530712.8
18283,20,1,2001,25.76833041,6.824360031,856872903.2
18284,21,1,2001,25.42852825,12.9407989,855768930.4
18285,22,1,2001,25.37189455,0.113267386,853564685.1
18286,23,1,2001,25.34357771,10.73208486,852280622.8
18287,24,1,2001,25.57011248,8.863172986,850815237.6
18288,25,1,2001,25.71169671,0.566336932,848619626.7
18289,26,1,2001,25.34357771,15.03624554,847706844.7
18290,27,1,2001,25.88159779,2.9166352,845699957.7
18291,28,1,2001,25.65506302,17.4998112,844972199.1
18292,29,1,2001,25.45684509,15.17782978,844061884
18293,30,1,2001,25.51347879,5.097032388,842243720.9
18294,31,1,2001,25.85328095,7.192479036,840609347.6
18295,1,2,2001,25.37189455,10.95861963,839341320.7
18296,2,2,2001,22.76674467,8.353469747,838073293.8
18297,3,2,2001,26.39130103,3.624556365,836084909.1
18298,4,2,2001,25.31526086,17.21664273,835362084.4
18299,5,2,2001,26.02318203,5.408517701,833558723.1
18300,6,2,2001,28.03367813,1.217624404,831218794.1
18301,7,2,2001,25.68337987,11.38337233,829960635
18302,8,2,2001,25.08872609,21.15268441,829601689.7
18303,9,2,2001,25.65506302,9.316242531,828167141.7
18304,10,2,2001,25.31526086,4.785547075,826374881.8
18305,11,2,2001,25.4002114,9.089707759,824944034.3
18306,12,2,2001,25.28694401,8.976440372,823515653.8
18307,13,2,2001,25.48516194,5.097032388,821732028.3
18308,14,2,2001,25.17367663,31.60160081,822266129.2
18309,15,2,2001,25.54179563,1.047723324,820129725.8
18310,16,2,2001,25.65506302,3.256437359,818173411.9
18311,17,2,2001,25.62674617,11.46832287,816931288.2
18312,18,2,2001,24.80555762,8.636638213,815512775.6
18313,19,2,2001,26.13644941,3.822774291,813566329.6
18314,20,2,2001,25.62674617,7.475647502,811976361.9
18315,21,2,2001,25.74001356,15.8008004,811094417.1
18316,22,2,2001,25.88159779,1.642377103,808980216.6
18317,23,2,2001,25.4002114,21.57743711,808627438.7
18318,24,2,2001,25.34357771,19.48199046,808100738.8
18319,25,2,2001,25.71169671,7.645548582,806518172.1
18320,26,2,2001,25.68337987,5.606735627,804764150.4
18321,27,2,2001,25.54179563,13.62040321,803713217.5
18322,28,2,2001,25.23031032,17.38654381,803012595.6
18323,1,3,2001,25.68337987,9.74099523,801613818.8
18324,2,3,2001,25.45684509,11.52495657,800391431
18325,3,3,2001,25.37189455,9.486143611,798996354.7
18326,4,3,2001,25.51347879,15.65921617,798125511.3
18327,5,3,2001,25.71169671,9.854262617,796732901.9
18328,6,3,2001,25.74001356,7.872083355,795168837.6
18329,7,3,2001,25.48516194,15.71584986,794301694.6
18330,8,3,2001,25.28694401,19.51030731,793781162.2
18331,9,3,2001,25.45684509,11.63822395,792568642.3
18332,10,3,2001,25.31526086,19.566941,792049343.3
18333,11,3,2001,25.4002114,25.62674617,792049343.3
18334,12,3,2001,25.25862717,15.48931509,791183433.8
18335,13,3,2001,25.00377555,19.22713884,790665368.4
18336,14,3,2001,25.71169671,11.97802611,789456548.9
18337,15,3,2001,25.71169671,19.96337685,788938483.4
18338,16,3,2001,25.28694401,11.52495657,787730897.5
18339,17,3,2001,25.28694401,21.54912026,787386754
18340,18,3,2001,25.37189455,13.64872006,786354323.5
18341,19,3,2001,27.69387597,19.9916937,785666036.5
18342,20,3,2001,25.14535978,25.37189455,785666036.5
18343,21,3,2001,25.17367663,25.42852825,785666036.5
18344,22,3,2001,25.76833041,28.00536129,785837491.5
18345,23,3,2001,25.59842933,27.83546021,786010180
18346,24,3,2001,24.89050816,41.08774442,787386754
18347,25,3,2001,25.99486518,38.17110922,788420418
18348,26,3,2001,25.4002114,47.62893598,790319991.4
18349,27,3,2001,25.90991464,44.14596385,791875421.3
18350,28,3,2001,25.28694401,45.59012303,793607240.2
18351,29,3,2001,26.56120211,56.35052473,795168837.6
18352,30,3,2001,25.45684509,33.7253643,795863292
18353,31,3,2001,21.6907045,44.08933016,797776433.8
18354,1,4,2001,28.43011399,29.22298569,797776433.8
18355,2,4,2001,26.13644941,37.03843535,798647277.2
18356,3,4,2001,25.06040924,38.00120814,799693276.1
18357,4,4,2001,31.51665027,42.41863621,800566586.5
18358,5,4,2001,30.4406101,39.33209993,801264741.4
18359,6,4,2001,31.68655135,63.82617224,803888373
18360,7,4,2001,30.72377856,59.72022948,806343016.6
18361,8,4,2001,31.31843234,59.89013056,808452283.2
18362,9,4,2001,31.14853126,43.6928943,809331761
18363,10,4,2001,31.14853126,33.18734422,809508150
18364,11,4,2001,29.64773839,46.07150942,810918028.2
18365,12,4,2001,32.05467035,37.32160382,811270806.1
18366,13,4,2001,31.46001657,28.45843083,810741639.2
18367,14,4,2001,31.17684811,20.13327793,809508150
18368,15,4,2001,31.31843234,31.17684811,809331761
18369,16,4,2001,22.14377404,33.75368115,810212472.3
18370,17,4,2001,23.98436907,26.84437058,810212472.3
18371,18,4,2001,25.20199347,27.92041075,810212472.3
18372,19,4,2001,24.32417123,26.44793472,810036083.4
18373,20,4,2001,24.57902285,47.26081698,811976361.9
18374,21,4,2001,25.68337987,37.80299021,812859540.2
18375,22,4,2001,24.550706,54.17012755,815336386.6
18376,23,4,2001,27.24080643,45.56180618,816753665.8
18377,24,4,2001,41.37091288,41.14437811,816577276.8
18378,25,4,2001,41.39922973,35.19784032,815868020.5
18379,26,4,2001,41.2576455,44.14596385,815868020.5
18380,27,4,2001,40.71962541,45.50517249,816044409.5
18381,28,4,2001,42.4752699,47.28913382,816222031.9
18382,29,4,2001,41.28596234,52.4994336,816931288.2
18383,30,4,2001,39.44536731,66.51627266,819062757.6
18384,1,5,2001,40.4081401,62.0422109,820662593.2
18385,2,5,2001,41.73903189,76.08736681,823515653.8
18386,3,5,2001,40.86120964,86.53628321,827449250.9
18387,4,5,2001,40.18160533,69.34795732,829960635
18388,5,5,2001,42.16378459,60.28656641,831398883.5
18389,6,5,2001,40.35150641,61.39092343,833018454.9
18390,7,5,2001,40.60635802,58.61587246,834280314.4
18391,8,5,2001,42.50358675,53.06577053,835001905.6
18392,9,5,2001,40.60635802,60.62636857,836446321.5
18393,10,5,2001,42.30536882,55.69923726,837350469.1
18394,11,5,2001,38.87903038,55.72755411,838616029
18395,12,5,2001,42.44695305,72.88756315,840973227
18396,13,5,2001,41.71071504,86.96103591,844607086.3
18397,14,5,2001,40.32318956,85.63014412,848254513.9
18398,15,5,2001,41.6823982,91.01034497,852280622.8
18399,16,5,2001,42.53190359,109.4446121,857793086.2
18400,17,5,2001,40.04002109,128.2469983,865186620.7
18401,18,5,2001,41.17269496,131.4751188,872815751.7
18402,19,5,2001,40.35150641,118.1095672,879368046.5
18403,20,5,2001,41.22932865,114.1452086,885581131.8
18404,21,5,2001,40.15328848,109.8976817,891451307.1
18405,22,5,2001,42.44695305,102.0539151,896402532.9
18406,23,5,2001,42.58853729,90.3590575,900226349.5
18407,24,5,2001,43.6928943,87.83885815,903680119.4
18408,25,5,2001,42.13546774,74.19013809,906181635.6
18409,26,5,2001,42.9000226,86.2247979,909655141.2
18410,27,5,2001,40.4081401,64.25092494,911590485.9
18411,28,5,2001,39.72853578,91.52004821,915859592.1
18412,29,5,2001,43.749528,79.40043787,918780494.6
18413,30,5,2001,41.56913081,96.10737736,923274095.9
18414,31,5,2001,39.02061461,87.61232338,927197825.2
18415,1,6,2001,43.3247753,91.15192921,930937764.6
18416,2,6,2001,40.63467487,60.62636857,932319272.5
18417,3,6,2001,41.39922973,87.95212554,936076480.7
18418,4,6,2001,41.39922973,77.61647653,939052890.3
18419,5,6,2001,41.82398243,76.99350591,941836875.5
18420,6,6,2001,40.49309064,63.54300377,943431777.1
18421,7,6,2001,40.80457595,65.89330204,945227737.4
18422,8,6,2001,42.61685413,55.64260357,946027038.4
18423,9,6,2001,41.08774442,48.70497615,946226863.7
18424,10,6,2001,41.05942757,53.94359277,946826339.4
18425,11,6,2001,40.63467487,51.14022496,947427048.7
18426,12,6,2001,37.63308913,53.68874115,948428642
18427,13,6,2001,41.39922973,33.18734422,947427048.7
18428,14,6,2001,41.73903189,42.39031936,947227223.5
18429,15,6,2001,41.96556666,34.5748697,946226863.7
18430,16,6,2001,42.10715089,44.23091439,946027038.4
18431,17,6,2001,41.05942757,36.38714788,945227737.4
18432,18,6,2001,42.36200251,23.30476475,943231951.8
18433,19,6,2001,41.85229927,28.54338137,941836875.5
18434,20,6,2001,41.48418027,21.54912026,939847257.3
18435,21,6,2001,41.45586342,17.89624705,937464156.1
18436,22,6,2001,42.75843837,30.86536279,936076480.7
18437,23,6,2001,40.66299172,23.7578343,934097964
18438,24,6,2001,34.37665177,18.85901984,932319272.5
18439,25,6,2001,34.5748697,17.32991012,930346923.2
18440,26,6,2001,33.92358223,14.83802762,928377040.9
18441,27,6,2001,34.37665177,24.46575546,927197825.2
18442,28,6,2001,33.21566106,16.99010796,925430235.1
18443,29,6,2001,34.71645393,26.27803364,924253486.4
