ID,date,month,year,outflow,inflow,storage
1,1,1,2001,577.5,171.5,11626000000
2,10,1,2001,587.7,169.2,11264000000
3,20,1,2001,670.9,169.5,10779000000
4,1,2,2001,699.1,161.3,10345000000
5,10,2,2001,708.4,171.3,9852000000
6,20,2,2001,633.4,195.9,9547000000
7,1,3,2001,558.4,192.9,9230000000
8,10,3,2001,583.3,167.5,8880000000
9,20,3,2001,383.7,219.3,8724000000
10,1,4,2001,27.2,218.3,8543000000
11,10,4,2001,319.8,372.2,8593000000
12,20,4,2001,289.3,437,8732000000
13,1,5,2001,266.6,478.5,8948000000
14,10,5,2001,214.3,958,9690000000
15,20,5,2001,263.8,911,10183000000
16,1,6,2001,301,1078.8,10855000000
17,10,6,2001,400.5,938.8,11319000000
18,20,6,2001,472.6,774.3,11584000000
19,1,7,2001,486.6,652.6,11724000000
20,10,7,2001,558.6,547.3,11714000000
21,20,7,2001,596.8,549.4,11690000000
22,1,8,2001,519.9,494.9,11650000000
23,10,8,2001,454,488.2,11679000000
24,20,8,2001,352,565.3,11880000000
25,1,9,2001,270.3,460,12042000000
26,10,9,2001,277.6,322.2,12087000000
27,20,9,2001,281.3,294.2,12101000000
28,1,10,2001,266.1,278.2,12114000000
29,10,10,2001,364.5,235.5,11999000000
30,20,10,2001,333.6,271.6,11943000000
31,1,11,2001,366.1,261.5,11860000000
32,10,11,2001,355.8,250.7,11775000000
33,20,11,2001,481.4,229.6,11566000000
34,1,12,2001,622.4,236.1,11227000000
35,10,12,2001,645.3,172.1,10763000000
36,20,12,2001,564.6,173.5,10425000000
37,1,1,2002,494.5,176.1,10149000000
38,10,1,2002,613.3,172,9768000000
39,20,1,2002,613.9,143.5,9316000000
40,1,2,2002,542.6,147.4,8971000000
41,10,2,2002,527.6,153.8,8648000000
42,20,2,2002,504,152.6,8406000000
43,1,3,2002,469.3,146.1,8113000000
44,10,3,2002,542.2,126.8,7718000000
45,20,3,2002,434,194.4,7542000000
46,1,4,2002,374.1,262.6,7446000000
47,10,4,2002,289.7,392.1,7538000000
48,20,4,2002,295.6,776.2,7999000000
49,1,5,2002,252.2,663.6,8313000000
50,10,5,2002,138.5,726.4,8858000000
51,20,5,2002,163.5,869.5,9479000000
52,1,6,2002,134,1337.2,10526000000
53,10,6,2002,138.7,1770.8,11952000000
54,20,6,2002,154.9,1411.8,13066000000
55,1,7,2002,200.7,1511.8,14198000000
56,10,7,2002,234,1074.7,14924000000
57,20,7,2002,314.6,1127.2,15700000000
58,1,8,2002,344.3,744.5,16055000000
59,10,8,2002,336.3,830.9,16483000000
60,20,8,2002,334.6,624.2,16753000000
61,1,9,2002,166.3,502,17016000000
62,10,9,2002,140.7,402.9,17219000000
63,20,9,2002,115.7,336.4,17407000000
64,1,10,2002,136.9,296.8,17539000000
65,10,10,2002,250.7,275.4,17574000000
66,20,10,2002,341.5,283.7,17517000000
67,1,11,2002,401.2,250.5,17407000000
68,10,11,2002,461.2,194.7,17176000000
69,20,11,2002,525,176,16873000000
70,1,12,2002,634.6,205.8,16517000000
71,10,12,2002,685.5,248.4,16129000000
72,20,12,2002,695.3,267.8,15718000000
73,1,1,2003,640.3,274.3,15315000000
74,10,1,2003,621.8,162.5,15004000000
75,20,1,2003,641.3,180.7,14510000000
76,1,2,2003,603.3,171.6,14195000000
77,10,2,2003,629.1,190.5,13818000000
78,20,2,2003,699,186.4,13463000000
79,1,3,2003,684.8,196.6,13033000000
80,10,3,2003,630.6,223.7,12683000000
81,20,3,2003,483.8,213.6,12427000000
82,1,4,2003,530.9,215,12148000000
83,10,4,2003,413.6,376.3,12116000000
84,20,4,2003,277.3,360.9,12211000000
85,1,5,2003,251.4,585.3,12502000000
86,10,5,2003,240.3,640,12859000000
87,20,5,2003,164.6,1127.8,13744000000
88,1,6,2003,101.8,1356.8,14812000000
89,10,6,2003,120.4,1366.3,15897000000
90,20,6,2003,112.8,1446.9,17036000000
91,1,7,2003,167.2,1170.3,17905000000
92,10,7,2003,245,1035.5,18583000000
93,20,7,2003,312.5,963,19145000000
94,1,8,2003,317,702,19435000000
95,10,8,2003,377.9,589,19615000000
96,20,8,2003,588.9,549.7,19575000000
97,1,9,2003,401.6,548,19643000000
98,10,9,2003,443.3,450.2,19643000000
99,20,9,2003,477.5,349.3,19517000000
100,1,10,2003,475.6,353,19426000000
101,10,10,2003,486.8,315.5,19259000000
102,20,10,2003,447.1,294.5,19112000000
103,1,11,2003,516.1,303.2,18920000000
104,10,11,2003,587,262.8,18635000000
105,20,11,2003,607.6,263.2,18339000000
106,1,12,2003,575.8,244.7,18050000000
107,10,12,2003,641.6,179.4,17606000000
108,20,12,2003,667.4,190.5,17229000000
109,1,1,2004,610.4,237,16957000000
110,10,1,2004,615.6,237,16520000000
