ID,date,month,year,outflow,inflow,storage
1,1,1,2001,135,463.5,3390000000
2,10,1,2001,136.5,451,3668000000
3,20,1,2001,132,364.5,3865000000
4,1,2,2001,115.9,453,4168000000
5,10,2,2001,252.9,422.5,4263000000
6,20,2,2001,876.6,395.6,3890000000
7,1,3,2001,1045.8,265,3188000000
8,10,3,2001,1074.3,194.5,2431000000
9,20,3,2001,693.8,194.5,2090000000
10,1,4,2001,433.4,274,1961000000
11,10,4,2001,289.8,213.5,1901000000
12,20,4,2001,221.9,179.9,1866000000
13,1,5,2001,194.6,152,1827000000
14,10,5,2001,162.1,133.2,1805000000
15,20,5,2001,628.5,629.6,1803000000
16,1,6,2001,769.2,789.8,1830000000
17,10,6,2001,885.5,1017.7,1921000000
18,20,6,2001,974.6,941.7,1881000000
19,1,7,2001,590.6,499.2,1807000000
20,10,7,2001,811,789.1,1792000000
21,20,7,2001,783.6,773.4,1773000000
22,1,8,2001,592.3,571.9,1762000000
23,10,8,2001,427.1,396.5,1741000000
24,20,8,2001,481.5,482.1,1737000000
25,1,9,2001,440,430.4,1730000000
26,10,9,2001,350.6,330.8,1719000000
27,20,9,2001,305.2,330.8,1708000000
28,1,10,2001,246.4,234.1,1698000000
29,10,10,2001,195.6,186.6,1692000000
30,20,10,2001,193.1,193.2,1692000000
31,1,11,2001,193.8,209.5,1712000000
32,10,11,2001,129.6,246.5,1832000000
33,20,11,2001,130,255.3,1968000000
34,1,12,2001,155,258.5,2094000000
35,10,12,2001,170,358,2272000000
36,20,12,2001,149.5,430.3,2555000000
37,1,1,2002,125.1,467.8,2847000000
38,10,1,2002,127,343.5,3025000000
39,20,1,2002,137.3,397.1,3274000000
40,1,2,2002,187.1,343,3394000000
41,10,2,2002,245.4,295.5,3414000000
42,20,2,2002,697.5,234,3082000000
43,1,3,2002,790.4,274.6,2628000000
44,10,3,2002,825.4,222,1951000000
45,20,3,2002,414.5,222,1768000000
46,1,4,2002,289.1,355.6,1802000000
47,10,4,2002,435.6,642.7,1999000000
48,20,4,2002,706.7,1441.5,2736000000
49,1,5,2002,998.5,1484,3117000000
50,10,5,2002,1083.6,1465,3599000000
51,20,5,2002,1342.1,2216.3,4306000000
52,1,6,2002,1479,2013.9,4850000000
53,10,6,2002,2212.7,2740.8,5278000000
54,20,6,2002,2376.8,2986,5806000000
55,1,7,2002,2442.3,2877.6,6163000000
56,10,7,2002,2312,2371,6166000000
